countrycode,year,Ic_Struc,Ic_Mach,Ic_TraEq,Ic_Other,Ip_Struc,Ip_Mach,Ip_TraEq,Ip_Other,Nc_Struc,Nc_Mach,Nc_TraEq,Nc_Other,Np_Struc,Np_Mach,Np_TraEq,Np_Other,Dc_Struc,Dc_Mach,Dc_TraEq,Dc_Other,Kc_Struc,Kc_Mach,Kc_TraEq,Kc_Other,Kp_Struc,Kp_Mach,Kp_TraEq,Kp_Other,Ksh_Struc,Ksh_Mach,Ksh_TraEq,Ksh_Other
ABW,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1970,88,4,12,0,1,3,1,7,676,75,33,0,1,2,1,7,14,11,6,0,,,,,,,,,,,,
ABW,1971,93,4,13,0,1,3,1,6,730,67,37,0,1,2,1,6,15,9,7,0,,,,,,,,,,,,
ABW,1972,98,4,13,0,1,3,1,5,786,60,41,0,1,2,1,5,17,8,8,0,,,,,,,,,,,,
ABW,1973,103,4,14,0,1,3,1,5,843,55,45,0,1,2,1,5,19,8,9,0,,,,,,,,,,,,
ABW,1974,109,4,15,0,1,2,1,5,902,50,48,0,1,2,1,5,20,7,10,0,,,,,,,,,,,,
ABW,1975,114,5,15,0,1,2,1,4,963,47,52,0,1,2,1,4,22,6,10,0,,,,,,,,,,,,
ABW,1976,120,5,16,0,1,2,1,4,1027,44,55,0,1,2,1,4,24,6,11,0,,,,,,,,,,,,
ABW,1977,127,5,17,0,1,2,1,4,1093,42,59,0,1,2,1,4,26,6,12,0,,,,,,,,,,,,
ABW,1978,134,5,18,0,1,2,1,3,1161,40,63,0,1,2,1,3,28,5,12,0,,,,,,,,,,,,
ABW,1979,141,6,19,0,1,2,1,3,1232,39,66,0,1,2,1,3,29,5,13,0,,,,,,,,,,,,
ABW,1980,148,6,20,0,1,2,1,3,1307,38,70,0,1,2,1,3,31,5,14,0,,,,,,,,,,,,
ABW,1981,156,6,21,0,1,2,1,2,1384,38,74,0,1,2,1,2,34,5,15,0,,,,,,,,,,,,
ABW,1982,164,7,22,0,1,2,1,2,1465,39,78,0,1,1,1,2,36,5,16,0,,,,,,,,,,,,
ABW,1983,173,7,23,0,1,2,1,2,1550,39,82,0,1,1,1,2,38,5,16,0,,,,,,,,,,,,
ABW,1984,182,7,25,0,1,2,1,2,1638,40,87,0,1,1,1,2,40,5,17,0,,,,,,,,,,,,
ABW,1985,192,8,26,0,1,1,1,2,1732,41,92,0,1,1,1,2,43,5,18,0,,,,,,,,,,,,
ABW,1986,202,8,27,0,1,1,1,2,1829,43,97,0,1,1,1,2,45,5,19,0,,,,,,,,,,,,
ABW,1987,243,10,33,0,1,1,1,2,2085,48,111,0,1,1,1,2,52,6,22,0,,,,,,,,,,,,
ABW,1988,298,12,40,0,1,1,1,2,2391,54,129,0,1,1,1,2,59,7,25,0,,,,,,,,,,,,
ABW,1989,350,14,44,0,1,1,1,1,2764,62,149,0,1,1,1,1,69,8,30,0,,,,,,,,,,,,
ABW,1990,364,15,69,0,1,2,1,1,3201,71,190,0,1,1,1,1,80,9,36,0,,,,,,,,,,,,
ABW,1991,434,18,63,0,1,2,1,1,3749,81,221,0,1,1,1,1,94,10,44,0,527,21,67,0,1,2,1,2,1,0,0,0
ABW,1992,495,20,49,0,1,2,1,1,4243,92,228,0,1,1,1,1,107,11,48,0,583,23,69,0,1,2,1,2,1,0,0,0
ABW,1993,569,23,32,0,1,2,1,1,4887,105,223,0,1,1,1,1,123,13,48,0,669,27,67,0,1,2,1,2,1,0,0,0
ABW,1994,709,29,16,0,1,2,1,1,5961,125,214,0,1,2,1,1,150,15,48,0,784,31,63,0,1,2,1,2,1,0,0,0
ABW,1995,586,55,82,0,1,2,1,1,5873,152,232,0,1,1,1,1,150,17,45,0,766,36,68,0,1,2,1,2,1,0,0,0
ABW,1996,580,48,72,0,1,2,1,1,6482,181,260,0,1,1,1,1,166,22,52,0,821,43,75,0,1,2,1,2,1,0,0,0
ABW,1997,720,44,73,0,1,2,1,1,7208,203,283,0,1,2,1,1,184,25,57,0,919,48,82,0,1,2,1,1,1,0,0,0
ABW,1998,796,32,92,0,1,2,1,1,7614,202,307,0,1,1,1,1,194,26,61,0,991,49,90,0,1,2,1,1,1,0,0,0
ABW,1999,879,40,52,0,1,2,1,1,8704,218,310,0,1,1,1,1,222,27,66,0,977,52,85,0,1,2,1,1,1,0,0,0
ABW,2000,714,76,81,0,1,2,1,1,10179,276,354,0,1,2,1,1,264,33,73,0,1089,63,95,0,1,2,1,1,1,0,0,0
ABW,2001,668,86,75,0,1,2,1,1,9887,308,335,0,1,1,1,1,257,37,69,0,1114,72,92,0,1,2,1,1,1,0,0,0
ABW,2002,743,108,101,0,1,2,1,1,10533,371,368,0,1,1,1,1,273,44,74,0,1105,89,99,0,1,2,1,1,1,0,0,0
ABW,2003,848,105,105,0,1,1,1,1,11116,407,395,0,1,1,1,1,287,49,80,0,1142,99,105,0,1,2,1,1,1,0,0,0
ABW,2004,937,109,114,0,1,1,1,1,12015,451,431,0,1,1,1,1,310,55,87,0,1260,108,115,0,1,2,1,1,1,0,0,0
ABW,2005,1204,105,137,0,1,1,1,1,13421,498,489,0,1,1,1,1,344,62,98,0,1307,117,127,0,1,2,1,1,1,0,0,0
ABW,2006,1316,126,138,0,1,1,1,1,14707,553,532,0,1,1,1,1,378,68,108,0,1349,127,135,0,1,2,1,1,1,0,0,0
ABW,2007,1335,133,107,0,1,1,1,1,16130,614,543,0,1,1,1,1,416,76,114,0,1462,139,138,0,1,2,1,1,1,0,0,0
ABW,2008,1404,164,123,0,1,1,1,1,17920,699,575,0,1,1,1,1,463,86,120,0,1529,154,143,0,1,2,1,1,1,0,0,0
ABW,2009,1096,199,102,6,1,1,1,1,18433,775,556,5,1,1,1,1,480,94,118,1,1360,168,132,2,1,1,1,1,1,0,0,0
ABW,2010,1008,163,105,5,1,1,1,1,19378,813,557,7,1,1,1,1,506,103,118,2,1289,170,128,3,1,1,1,1,1,0,0,0
ABW,2011,1047,183,111,5,1,1,1,1,20581,898,569,10,1,1,1,1,538,113,120,3,1375,186,131,4,1,1,1,1,1,0,0,0
ABW,2012,947,195,105,5,1,1,1,1,21272,950,563,10,1,1,1,1,557,119,119,4,1363,190,128,4,1,1,1,1,1,0,0,0
ABW,2013,789,189,90,4,1,1,1,1,20109,944,508,10,1,1,1,1,527,119,108,4,1398,196,118,4,1,1,1,1,1,0,0,0
ABW,2014,769,212,91,4,1,1,1,1,21010,1012,508,11,1,1,1,1,551,127,108,4,1427,208,117,4,1,1,1,1,1,0,0,0
ABW,2015,729,229,90,4,1,1,1,1,21775,1079,506,10,1,1,1,1,571,136,107,4,1509,224,118,4,1,1,1,1,1,0,0,0
ABW,2016,713,252,91,4,1,1,1,1,20969,1118,474,10,1,1,1,1,549,140,100,4,1540,228,112,4,1,1,1,1,1,0,0,0
ABW,2017,691,275,92,4,1,1,1,1,20844,1210,463,10,1,1,1,1,545,151,97,4,1576,250,111,4,1,1,1,1,1,0,0,0
ABW,2018,731,307,96,4,1,1,1,1,22398,1387,488,11,1,1,1,1,585,174,103,4,1642,274,115,4,1,1,1,1,1,0,0,0
ABW,2019,733,340,87,4,1,1,1,1,23076,1545,484,11,1,1,1,1,602,195,103,4,1680,294,114,4,1,1,1,1,1,0,0,0
AGO,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1994,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AGO,1995,3,1,0,0,0,0,0,0,55,4,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,1,0,0,0
AGO,1996,224,125,35,4,0,0,0,0,2936,290,54,5,0,0,0,0,79,33,8,1,644,122,29,4,0,0,0,0,1,0,0,0
AGO,1997,411,167,15,5,0,0,0,0,6078,655,100,11,0,0,0,0,166,84,21,4,1329,284,55,9,0,0,0,0,1,0,0,0
AGO,1998,875,278,28,9,0,0,0,0,9408,1075,142,19,0,0,0,0,255,136,30,6,1881,451,77,14,0,0,0,0,1,0,0,0
AGO,1999,4057,1963,245,63,0,0,0,0,63993,7938,979,141,0,0,0,0,1769,1013,200,44,12538,3259,529,104,0,0,0,0,1,0,0,0
AGO,2000,9930,3988,288,147,0,0,0,0,260975,32386,3468,622,0,0,0,0,7326,4424,775,222,69464,15611,2138,498,0,0,0,0,1,0,0,0
AGO,2001,23286,9873,1842,316,0,0,0,0,702792,81823,9204,1236,0,0,0,0,19795,11136,1930,416,144296,37975,5154,1183,0,0,0,0,1,0,0,0
AGO,2002,141198,42370,16903,1319,0,0,0,0,3773531,393095,55011,3837,0,0,0,0,106140,53745,10851,1055,322475,126513,24422,2749,0,0,0,0,1,0,0,0
AGO,2003,251766,95575,44538,2480,0,0,0,0,6609389,683088,117694,7243,0,0,0,0,186023,91924,22238,2086,644081,236873,54788,5609,0,0,0,0,1,0,0,0
AGO,2004,374625,132476,91575,3553,0,0,0,0,8665142,889959,206166,9835,0,0,0,0,243531,119230,37376,2859,981859,336131,98311,9099,0,0,0,0,1,0,0,0
AGO,2005,588852,196496,106408,3808,0,0,0,0,11749049,1213888,318057,13021,0,0,0,0,329571,161391,61723,4023,1830907,475705,158761,10660,0,0,0,0,1,0,0,0
AGO,2006,630661,199248,89369,4666,0,0,0,0,11935196,1242807,336462,14369,0,0,0,0,334966,165252,67998,4484,2478101,536170,186938,10361,0,0,0,0,1,0,0,0
AGO,2007,910969,246059,91477,10881,0,0,0,0,15019381,1526968,415009,20733,0,0,0,0,420769,202916,86057,5433,2902594,648892,224909,15296,0,0,0,0,1,0,0,0
AGO,2008,1144191,555049,214836,27110,0,0,0,0,19088474,2141949,608667,42549,0,0,0,0,536231,269830,116814,9323,3664302,921316,328787,30127,0,0,0,0,1,0,0,0
AGO,2009,1480645,623377,247031,35631,0,0,0,0,22340622,2638189,779343,64361,0,0,0,0,627078,336509,152838,12582,2161901,977078,392712,37750,0,0,0,0,1,0,0,0
AGO,2010,1207604,766667,135489,64916,0,0,0,0,22898872,3049297,754711,113458,0,0,0,0,648599,386315,160095,21204,3764014,1180704,381036,61593,0,0,0,0,1,0,0,0
AGO,2011,1523473,870940,277970,99069,0,1,0,1,27216598,3908688,959067,197358,0,1,0,1,770900,503912,191116,37116,5327665,1561375,488230,103308,0,1,0,1,1,0,0,0
AGO,2012,2027982,794167,341045,98525,1,1,1,1,30991218,4449378,1161550,260767,1,1,1,1,875287,588202,230955,50794,6306738,1760604,573982,131852,1,1,1,1,1,0,0,0
AGO,2013,2338983,491528,526047,95057,1,1,1,1,33650292,4473606,1456976,303495,1,1,1,1,950569,613884,278245,60342,6956601,1694942,695535,141492,1,1,1,1,1,0,0,0
AGO,2014,2644492,916269,264942,110324,1,1,1,1,38692472,5098551,1544195,366656,1,1,1,1,1096127,673841,328996,71716,7457496,1872657,690807,166531,1,1,1,1,1,0,0,0
AGO,2015,2668745,797226,358250,111102,1,1,1,1,41115884,5235121,1606639,401953,1,1,1,1,1169191,702182,332676,78333,6500446,1755087,656372,167955,1,1,1,1,1,0,0,0
AGO,2016,3239732,739236,238619,120587,1,1,1,1,50899048,6106872,1772398,500968,1,1,1,1,1450900,833088,385245,99230,8022264,1957196,694212,198981,1,1,1,1,1,0,0,0
AGO,2017,3425615,777843,375283,130686,1,1,1,1,71234256,7928850,2312647,668706,1,1,1,1,2049454,1093525,495223,131779,9905375,2268727,835239,234692,1,1,1,1,1,0,0,0
AGO,2018,3023724,1002527,228796,151566,1,1,1,1,71693544,7951934,2069722,700163,1,1,1,1,2070321,1082414,455680,142820,13492322,2554227,823781,270981,1,1,1,1,1,0,0,0
AGO,2019,3767762,1012323,205350,167008,1,1,1,1,87727688,9276926,2210999,836628,1,1,1,1,2533698,1274226,491336,173760,16544513,2990206,880840,325995,2,1,1,1,1,0,0,0
AIA,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
